title,rating
Chung Cu Ma,5.6
Churchill's Secret Agents: The New Recruits,7.6
Cinderella and the Four Knights,7.3
Circle,6.0
Circus of Books,7.0
Cirque du Soleil: Luna Petunia,6.4
Cities of Last Things,6.2
City of Joy,7.4
City of Tiny Lights,5.5
Clair Obscur,6.5
Clarence,6.6
Class of '83,5.9
Clean with Passion for Now,6.5
Cleo & Cuquin,7.9
Climax,7.1
Clinical,5.1
Close Enemies,6.3
Close Enough,8.0
Cloudy With a Chance of Meatballs 2,6.4
Cloudy with a Chance of Meatballs,3.3
Club de Cuervos,7.8
Clueless,6.8
Coach Snoop,6.8
Cobra Kai,8.8
Cocaine Coast,8.0
Cocaine Cowboys: Reloaded,7.7
Coco Before Chanel,6.7
Coco y Raulito: Carrusel de ternura,6.6
Cocomelon,5.6
Cocomong,4.3
Code Geass: Lelouch of the Rebellion,8.6
Coin Heist,4.8
Cold Harbour,5.3
Colin Quinn: Red State Blue State,7.5
Colin Quinn: The New York Story,6.8
Colin Quinn: Unconstitutional,7.1
Collateral,7.1
College Romance,9.0
Collision,5.9
Colombia magia salvaje,8.3
Colombiana,6.4
Colony,7.4
Color Me Barbra,8.0
"Com a Palavra, Arnaldo Antunes",7.7
Come Sunday,6.0
Come and Hug Me,8.0
Comedians in Cars Getting Coffee,7.4
Comedians of the World,6.4
Coming Soon,7.4
Community,8.5
Como Caído Del Cielo,6.4
Conan the Barbarian,5.2
Confessions of a Brazilian Call Girl,6.1
Confessions of a Serial Killer with Piers Morgan,3.8
Cong qian you zuo ling jian shan,7.6
Connected: The Hidden Science of Everything,7.5
Contact,7.4
Contagion,6.7
Continuum,7.6
Contracted,5.3
Control Z,6.9
Cooked,8.0
Cooked with Cannabis,6.7
Cooking on High,4.9
Copenhagen,7.1
"Coronavirus, Explained",7.7
Corpse Party,4.7
Cosmos: A Spacetime Odyssey,9.3
Cougar Hunting,3.6
CounterPunch,6.7
Couples Counseling,5.6
Courage & Stupidity,7.5
Cowboy,6.4
Cowspiracy: The Sustainability Secret,8.3
Cracked Up,7.3
Craig Ferguson: I'm Here to Help,7.2
Craig Ferguson: Tickle Fight,6.6
Craigslist Joe,6.8
Crap Shoot: The Documentary,3.8
Craptastic,3.6
Crash Landing on You,8.8
Crashing,7.7
Crazy Delicious,6.8
Crazy Ex-Girlfriend,8.2
Crazy People,5.4
"Crazy, Lovely, Cool",7.2
Crazyhead,7.3
Creeped Out,6.6
Cricket Fever: Mumbai Indians,7.3
Crime Diaries: The Candidate,7.6
Crime of Passion,6.5
Criminal: France,7.2
Criminal: Germany,7.7
Criminal: Spain,6.9
Criminal: UK,7.4
Criminals: Caught on Camera,7.0
Crip Camp,7.8
Cristela Alonzo: Lower Classy,6.3
Cristina,8.0
Croaker,7.1
Crossfire Hurricane,7.4
Crossroads: One Two Jaga,6.5
"Crouching Tiger, Hidden Dragon: Sword of Destiny",6.1
Crowsnest,3.9
Cuba and the Cameraman,8.3
Cuckoo,7.0
Cult of the Cobra,5.8
Cunning Single Lady,7.5
Cupcake & Dino: General Services,7.5
Curon,5.8
Cursed,6.3
Curtiz,6.0
Cut from a Different Cloth,6.1
Cyborg 009 vs Devilman,6.2
Cyborg 009: Call of Justice,5.8
D.L. Hughley: Contrarian,6.5
DC Super Friends,6.5
DC Super Hero Girls: Hero of the Year,5.6
DC's Legends of Tomorrow,8.1
DJ Cinderella,4.4
DMT: The Spirit Molecule,7.2
Da 5 Bloods,6.5
Dachra,6.9
Daddy Issues,4.1
Daemonium: Soldier of the Underworld,4.1
Dahmer vs. Gacy,2.4
Damascus Cover,5.2
Damnation,7.7
Damsels in Distress,5.7
"Dana Carvey: Straight White Male, 60",6.4
Dancing Queen,6.9
Dancing Quietly,6.2
Dancing with the Birds,8.3
Danger Mouse,7.1
Dangerous Lies,5.2
Daniel Sloss: Live Shows,8.6
Daniel Sosa: Maleducado,6.8
Daniel Sosa: Sosafado,5.3
Daniël Arends: Carte blanche,7.4
Danny Says,6.7
Dans for mig,6.7
Dany Boon: Des Hauts-De-France,6.0
Darc,5.8
Dare Me,7.6
Daredevil,9.0
Dark,9.1
Dark Chocolate,4.3
Dark Desire,6.4
Dark Forces,2.3
Dark Net,7.1
Dark Places,6.2
Dark Power,3.4
Dark Summer,4.2
Dark Tourist,7.5
Darling in the Franxx,7.3
Darr @ the Mall,4.9
Das Zeugenhaus,6.8
Dating Around,6.3
Dating Around: Brazil,5.5
Daughters of Destiny,8.5
